"HOW TO REPLACE AN IMAGE: make your new photo, crop it to the aspect ratio shown, export it at EXACTLY the width × height shown, save it with the SAME file name (WebP for .webp rows, JPG for .jpg rows) and overwrite the old file. Most photos have two rows (a small and a large size) — replace both with the same picture. No HTML changes needed."

"No.","File (inside the website folder)","Width (px)","Height (px)","Aspect ratio","What it is","Shown on page","Description / alt text (already in the HTML)","Current image","Temporary stock credit","Brief for the replacement photo","Slot (for the tools)"
"1","assets/images/categories/business-stationery-printing-dubai-768.webp","768","512","3:2","Category page – top banner (also category cards)","/business-stationery-printing-dubai/","Matching business cards, letterhead, envelope and presentation folder arranged on a light oak desk","Temporary stock","Ana Cruz (Unsplash S0qh0ONK-AE)","Realistic commercial photograph of a coordinated business stationery set: business cards, A4 letterhead, DL envelope and presentation folder in navy and white, arranged on a light oak desk in a bright Dubai office, soft daylight, overhead three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding.","cat:business-stationery"
"2","assets/images/categories/business-stationery-printing-dubai-1280.webp","1280","853","3:2","Category page – top banner (also category cards)","/business-stationery-printing-dubai/","Matching business cards, letterhead, envelope and presentation folder arranged on a light oak desk","Temporary stock","Ana Cruz (Unsplash S0qh0ONK-AE)","Realistic commercial photograph of a coordinated business stationery set: business cards, A4 letterhead, DL envelope and presentation folder in navy and white, arranged on a light oak desk in a bright Dubai office, soft daylight, overhead three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding.","cat:business-stationery"
"3","assets/images/og/business-stationery-printing-dubai.jpg","1200","630","1.91:1","Social share preview (Facebook, WhatsApp, LinkedIn…) – JPG","/business-stationery-printing-dubai/","Matching business cards, letterhead, envelope and presentation folder arranged on a light oak desk","Temporary stock","Ana Cruz (Unsplash S0qh0ONK-AE)","Same photo as above, cropped to 1200 × 630","cat:business-stationery"
"4","assets/images/categories/marketing-promotional-printing-dubai-768.webp","768","512","3:2","Category page – top banner (also category cards)","/marketing-promotional-printing-dubai/","Printed flyers, a folded brochure and a product catalogue spread across a studio table","Temporary stock","Mockup Free (Unsplash Ue7ttHJXf2o)","Realistic commercial photograph of a coordinated set of marketing print: A5 flyers, an open tri-fold brochure, a perfect-bound catalogue and a small poster, spread across a white studio table, bright even lighting, overhead angle, cohesive colour palette, fictional brand name, no real logos, no Flash Print Solution branding.","cat:marketing-promotional"
"5","assets/images/categories/marketing-promotional-printing-dubai-1280.webp","1280","853","3:2","Category page – top banner (also category cards)","/marketing-promotional-printing-dubai/","Printed flyers, a folded brochure and a product catalogue spread across a studio table","Temporary stock","Mockup Free (Unsplash Ue7ttHJXf2o)","Realistic commercial photograph of a coordinated set of marketing print: A5 flyers, an open tri-fold brochure, a perfect-bound catalogue and a small poster, spread across a white studio table, bright even lighting, overhead angle, cohesive colour palette, fictional brand name, no real logos, no Flash Print Solution branding.","cat:marketing-promotional"
"6","assets/images/og/marketing-promotional-printing-dubai.jpg","1200","630","1.91:1","Social share preview (Facebook, WhatsApp, LinkedIn…) – JPG","/marketing-promotional-printing-dubai/","Printed flyers, a folded brochure and a product catalogue spread across a studio table","Temporary stock","Mockup Free (Unsplash Ue7ttHJXf2o)","Same photo as above, cropped to 1200 × 630","cat:marketing-promotional"
"7","assets/images/products/catalog-items/danglers-640.webp","640","480","4:3","Category page – item card (no separate page)","/marketing-promotional-printing-dubai/","Double-sided promotional danglers hanging from a supermarket ceiling above an aisle","Temporary stock","Artem Beliaikin (Unsplash kTd2PvtqE_o)","Realistic commercial photograph of several die-cut, double-sided promotional danglers hanging on clear threads from the ceiling above a bright supermarket aisle in Dubai, colourful offer graphics, shelves softly blurred below, wide-angle view, fictional brand name, no real logos, no Flash Print Solution branding.","card:danglers"
"8","assets/images/products/catalog-items/danglers-1200.webp","1200","900","4:3","Category page – item card (no separate page)","/marketing-promotional-printing-dubai/","Double-sided promotional danglers hanging from a supermarket ceiling above an aisle","Temporary stock","Artem Beliaikin (Unsplash kTd2PvtqE_o)","Realistic commercial photograph of several die-cut, double-sided promotional danglers hanging on clear threads from the ceiling above a bright supermarket aisle in Dubai, colourful offer graphics, shelves softly blurred below, wide-angle view, fictional brand name, no real logos, no Flash Print Solution branding.","card:danglers"
"9","assets/images/categories/large-format-printing-dubai-768.webp","768","512","3:2","Category page – top banner (also category cards)","/large-format-printing-dubai/","Wide printed promotional banner fixed above a modern retail shopfront on a sunny street","Temporary stock","Pawel Czerwinski (Unsplash _9dSF0Hwitw)","Realistic commercial photograph of a wide full-colour promotional banner fixed above a modern retail shopfront in Dubai, bright afternoon sun, clean pavement, straight-on eye-level angle, crisp saturated colours, palm tree edge of frame, fictional brand name, no real logos, no Flash Print Solution branding.","cat:large-format"
"10","assets/images/categories/large-format-printing-dubai-1280.webp","1280","853","3:2","Category page – top banner (also category cards)","/large-format-printing-dubai/","Wide printed promotional banner fixed above a modern retail shopfront on a sunny street","Temporary stock","Pawel Czerwinski (Unsplash _9dSF0Hwitw)","Realistic commercial photograph of a wide full-colour promotional banner fixed above a modern retail shopfront in Dubai, bright afternoon sun, clean pavement, straight-on eye-level angle, crisp saturated colours, palm tree edge of frame, fictional brand name, no real logos, no Flash Print Solution branding.","cat:large-format"
"11","assets/images/og/large-format-printing-dubai.jpg","1200","630","1.91:1","Social share preview (Facebook, WhatsApp, LinkedIn…) – JPG","/large-format-printing-dubai/","Wide printed promotional banner fixed above a modern retail shopfront on a sunny street","Temporary stock","Pawel Czerwinski (Unsplash _9dSF0Hwitw)","Same photo as above, cropped to 1200 × 630","cat:large-format"
"12","assets/images/products/catalog-items/foam-board-printing-640.webp","640","480","4:3","Category page – item card (no separate page)","/large-format-printing-dubai/","Printed foam board welcome sign on a wooden easel at an indoor event entrance","Temporary stock","Frederick Medina (Unsplash hGLVkyNoYpQ)","Realistic commercial photograph of a printed white foam board welcome sign on a light wooden easel at a hotel event entrance in Dubai, soft warm indoor lighting, shallow depth of field, three-quarter angle, clean modern typography, fictional brand name, no real logos, no Flash Print Solution branding.","card:foam-board-printing"
"13","assets/images/products/catalog-items/foam-board-printing-1200.webp","1200","900","4:3","Category page – item card (no separate page)","/large-format-printing-dubai/","Printed foam board welcome sign on a wooden easel at an indoor event entrance","Temporary stock","Frederick Medina (Unsplash hGLVkyNoYpQ)","Realistic commercial photograph of a printed white foam board welcome sign on a light wooden easel at a hotel event entrance in Dubai, soft warm indoor lighting, shallow depth of field, three-quarter angle, clean modern typography, fictional brand name, no real logos, no Flash Print Solution branding.","card:foam-board-printing"
