Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"pool:digital-press","website/assets/images/production/","digital-press-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Digital press output","","Photorealistic commercial photograph: Digital press output — freshly printed sheets leaving a production digital press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:offset-press","website/assets/images/production/","offset-press-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Offset press run","","Photorealistic commercial photograph: Offset press run — operator checking a sheet at an offset printing press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:large-format-printer","website/assets/images/production/","large-format-printer-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Wide-format inkjet printer printing a large graphic onto roll media","","Photorealistic commercial photograph: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:finishing-cutting","website/assets/images/production/","finishing-cutting-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Trimming and cutting printed stacks on a guillotine in a print finishing area","","Photorealistic commercial photograph: Trimming and cutting printed stacks on a guillotine in a print finishing area. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:binding","website/assets/images/production/","binding-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Booklet binding / stitching and folding of multi-page printed documents","","Photorealistic commercial photograph: Booklet binding / stitching and folding of multi-page printed documents. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:foil-embossing","website/assets/images/production/","foil-embossing-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Hot-foil stamping or embossing detail being applied to card stock","","Photorealistic commercial photograph: Hot-foil stamping or embossing detail being applied to card stock. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:vinyl-plotter","website/assets/images/production/","vinyl-plotter-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Vinyl cutting plotter cutting lettering/shapes from coloured vinyl, then weeding","","Photorealistic commercial photograph: Vinyl cutting plotter cutting lettering/shapes from coloured vinyl, then weeding. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:vinyl-installation","website/assets/images/production/","vinyl-installation-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Installer applying printed vinyl film to glass or wall with a squeegee","","Photorealistic commercial photograph: Installer applying printed vinyl film to glass or wall with a squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:sign-fabrication","website/assets/images/production/","sign-fabrication-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Workshop fabrication of signage","","Photorealistic commercial photograph: Workshop fabrication of signage — acrylic, aluminium composite panels and letters. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:sign-installation","website/assets/images/production/","sign-installation-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Installation team fixing a sign board on a building facade using ladders/lift","","Photorealistic commercial photograph: Installation team fixing a sign board on a building facade using ladders/lift. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:laser-cutter","website/assets/images/production/","laser-cutter-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","CO2 laser cutter cutting or engraving acrylic / wood sheet in the workshop","","Photorealistic commercial photograph: CO2 laser cutter cutting or engraving acrylic / wood sheet in the workshop. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:screen-printing","website/assets/images/production/","screen-printing-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Screen printing garments","","Photorealistic commercial photograph: Screen printing garments — squeegee pulling ink through a mesh screen. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:embroidery","website/assets/images/production/","embroidery-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Multi-head embroidery machine stitching a logo onto a garment or cap","","Photorealistic commercial photograph: Multi-head embroidery machine stitching a logo onto a garment or cap. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:heat-press","website/assets/images/production/","heat-press-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Heat press transferring a printed design (DTF / heat transfer) onto fabric","","Photorealistic commercial photograph: Heat press transferring a printed design (DTF / heat transfer) onto fabric. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:packaging-production","website/assets/images/production/","packaging-production-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Packaging production","","Photorealistic commercial photograph: Packaging production — die-cut cartons being folded, glued and checked. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:label-printing","website/assets/images/production/","label-printing-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Roll label printing and slitting","","Photorealistic commercial photograph: Roll label printing and slitting — labels on a roll passing through a press. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:design-studio","website/assets/images/production/","design-studio-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Designer preparing print artwork on a large monitor with colour swatches nearby","","Photorealistic commercial photograph: Designer preparing print artwork on a large monitor with colour swatches nearby. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:quality-check","website/assets/images/production/","quality-check-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Quality control","","Photorealistic commercial photograph: Quality control — checking a printed proof against a colour swatch under lighting. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:vehicle-wrap-install","website/assets/images/production/","vehicle-wrap-install-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Installer applying wrap film to a vehicle panel with a heat gun and squeegee","","Photorealistic commercial photograph: Installer applying wrap film to a vehicle panel with a heat gun and squeegee. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"pool:promo-branding","website/assets/images/production/","promo-branding-{width}.webp","4:3","640 + 1200","production","temporary stock (Unsplash)","Branding promotional items","","Photorealistic commercial photograph: Branding promotional items — pad printing / engraving logos on merchandise. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"cat:business-stationery","website/assets/images/categories/","business-stationery-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Matching business cards, letterhead, envelope and presentation folder arranged on a light oak desk","/business-stationery-printing-dubai/","Realistic commercial photograph of a coordinated business stationery set: business cards, A4 letterhead, DL envelope and presentation folder in navy and white, arranged on a light oak desk in a bright Dubai office, soft daylight, overhead three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:marketing-promotional","website/assets/images/categories/","marketing-promotional-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Printed flyers, a folded brochure and a product catalogue spread across a studio table","/marketing-promotional-printing-dubai/","Realistic commercial photograph of a coordinated set of marketing print: A5 flyers, an open tri-fold brochure, a perfect-bound catalogue and a small poster, spread across a white studio table, bright even lighting, overhead angle, cohesive colour palette, fictional brand name, no real logos, no Flash Print Solution branding."
"card:danglers","website/assets/images/products/catalog-items/","danglers-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Double-sided promotional danglers hanging from a supermarket ceiling above an aisle","/marketing-promotional-printing-dubai/","Realistic commercial photograph of several die-cut, double-sided promotional danglers hanging on clear threads from the ceiling above a bright supermarket aisle in Dubai, colourful offer graphics, shelves softly blurred below, wide-angle view, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:large-format","website/assets/images/categories/","large-format-printing-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Wide printed promotional banner fixed above a modern retail shopfront on a sunny street","/large-format-printing-dubai/","Realistic commercial photograph of a wide full-colour promotional banner fixed above a modern retail shopfront in Dubai, bright afternoon sun, clean pavement, straight-on eye-level angle, crisp saturated colours, palm tree edge of frame, fictional brand name, no real logos, no Flash Print Solution branding."
"card:foam-board-printing","website/assets/images/products/catalog-items/","foam-board-printing-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Printed foam board welcome sign on a wooden easel at an indoor event entrance","/large-format-printing-dubai/","Realistic commercial photograph of a printed white foam board welcome sign on a light wooden easel at a hotel event entrance in Dubai, soft warm indoor lighting, shallow depth of field, three-quarter angle, clean modern typography, fictional brand name, no real logos, no Flash Print Solution branding."
"card:one-way-vision","website/assets/images/products/catalog-items/","one-way-vision-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Shop window covered in perforated one-way vision film showing a colourful printed graphic","/large-format-printing-dubai/","Realistic commercial photograph of a street-level shop window in Dubai covered with a full-colour perforated one-way vision graphic, daylight, slight angle showing the fine perforation texture, glass door beside it, clean facade, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:outdoor-signage","website/assets/images/categories/","outdoor-signage-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Illuminated 3D letter sign on a dark fascia above a modern shopfront at dusk","/outdoor-signage-dubai/","Realistic commercial photograph of a modern retail shopfront in Dubai at dusk with glowing front-lit 3D letters on a dark grey ACP fascia, warm interior light through the glass, clean pavement, straight-on eye-level view, fictional brand name, no real logos, no Flash Print Solution branding."
"cat:corporate-gifts","website/assets/images/categories/","corporate-gifts-dubai-{width}.webp","3:2","768 + 1280","","temporary stock (Unsplash)","Corporate gift set with branded mug, navy diary, USB drive and keychain in a box","/corporate-gifts-dubai/","Realistic commercial product photograph of a corporate gift set in an open black rigid box: white mug, navy PU diary with debossed logo, metal USB drive and keychain, on a light oak desk in a Dubai office, soft window light, 45-degree angle, fictional brand name, no real logos, no Flash Print Solution branding."
"card:keychains","website/assets/images/products/catalog-items/","keychains-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Assorted metal and wooden keychains with engraved fictional logos laid on a grey surface","/corporate-gifts-dubai/","Realistic product photograph of assorted branded keychains, brushed metal rectangles and bamboo tags with laser-engraved fictional logos, arranged on a matte grey surface, soft diffused studio light, top-down angle, fictional brand name, no real logos, no Flash Print Solution branding."
